id,label,converged,n_iterations,final_delta,mae,mae_iter0,alpha,weight_mode,weight_cap,price_mode,init_strategy,ema_beta,running_avg_k,year,elapsed_s
BASE,"Baseline (spec, no fix)",False,50,81.42237121212281,19.39217038737069,15.096556230800465,1.0,linear,1.0,mean,last_settlement,,,2024,14.52
B1_a01,B1 fixed-alpha=0.1,False,50,3.4599865766908238,10.292432209099188,21.258361283919513,0.1,linear,1.0,mean,last_settlement,,,2024,8.43
B1_a02,B1 fixed-alpha=0.2,False,50,4.406234238199488,10.289444535000912,20.50500945815643,0.2,linear,1.0,mean,last_settlement,,,2024,8.75
B1_a03,B1 fixed-alpha=0.3,False,50,5.971809116624911,10.257711170668182,19.766544877473038,0.3,linear,1.0,mean,last_settlement,,,2024,8.6
B1_a04,B1 fixed-alpha=0.4,False,50,21.316527328312482,10.454435987827543,19.04158927080072,0.4,linear,1.0,mean,last_settlement,,,2024,8.7
B1_a05,B1 fixed-alpha=0.5,False,50,39.99561489355961,11.945044074025839,18.327377758154377,0.5,linear,1.0,mean,last_settlement,,,2024,8.31
B1_a06,B1 fixed-alpha=0.6,False,50,36.86888644827275,10.976540669380656,17.628292832146695,0.6,linear,1.0,mean,last_settlement,,,2024,8.5
B1_a07,B1 fixed-alpha=0.7,False,50,13.551885940726432,10.701636224186778,16.94896480069954,0.7,linear,1.0,mean,last_settlement,,,2024,8.35
B1_a08,B1 fixed-alpha=0.8,False,50,49.288933942526285,11.219697296194038,16.30126512129336,0.8,linear,1.0,mean,last_settlement,,,2024,8.1
B1_a09,B1 fixed-alpha=0.9,False,50,51.46355964507544,11.543158383307444,15.680286357242,0.9,linear,1.0,mean,last_settlement,,,2024,8.37
C2_log,C2 log-profit weights,False,50,30.17378430356787,10.875786380072453,16.502598349834184,1.0,log,1.0,mean,last_settlement,,,2024,9.1
C3_cap10,C3 weight-cap=0.10,False,50,81.3724787491094,19.403967266486255,15.096556230800465,1.0,capped,0.1,mean,last_settlement,,,2024,8.68
C3_cap15,C3 weight-cap=0.15,False,50,81.42237121212277,19.392170387370687,15.096556230800465,1.0,capped,0.15,mean,last_settlement,,,2024,8.71
C3_cap20,C3 weight-cap=0.20,False,50,25.52081555955995,10.954471204485635,15.096556230800465,1.0,capped,0.2,mean,last_settlement,,,2024,9.21
C3_cap25,C3 weight-cap=0.25,False,50,81.4223712121228,19.39217038737069,15.096556230800465,1.0,capped,0.25,mean,last_settlement,,,2024,7.8
C3_cap30,C3 weight-cap=0.30,False,50,81.42237121212281,19.392170387370687,15.096556230800465,1.0,capped,0.3,mean,last_settlement,,,2024,8.5
C3_cap50,C3 weight-cap=0.50,False,50,81.42237121212277,19.392170387370687,15.096556230800465,1.0,capped,0.5,mean,last_settlement,,,2024,8.74
C2b_median,C2b weighted-median price,False,50,16.18206744067409,10.832364409083217,19.58590151475844,1.0,linear,1.0,median,last_settlement,,,2024,8.72
D2_forecast_mean,D2 init=forecast-mean,False,50,25.520815559559992,10.954471204485637,11.30173500934299,1.0,linear,1.0,mean,forecast_mean,,,2024,8.71
E2_ema01,E2 EMA-beta=0.1,False,50,51.46355964507539,11.543158383307444,15.680286357242,1.0,linear,1.0,mean,last_settlement,0.1,,2024,8.23
E2_ema02,E2 EMA-beta=0.2,False,50,49.288933942526285,11.219697296194038,16.30126512129336,1.0,linear,1.0,mean,last_settlement,0.2,,2024,7.7
E2_ema03,E2 EMA-beta=0.3,False,50,13.551885940726429,10.701636224186778,16.948964800699542,1.0,linear,1.0,mean,last_settlement,0.3,,2024,8.21
E2_ema05,E2 EMA-beta=0.5,False,50,39.99561489355961,11.945044074025839,18.327377758154377,1.0,linear,1.0,mean,last_settlement,0.5,,2024,8.09
E2_ema07,E2 EMA-beta=0.7,False,50,5.971809116624627,10.257711170668157,19.766544877473038,1.0,linear,1.0,mean,last_settlement,0.7,,2024,9.58
E1_ravg2,E1 running-avg K=2,True,14,0.0017477596632176073,12.778877332211422,15.096556230800465,1.0,linear,1.0,mean,last_settlement,,2.0,2024,2.85
E1_ravg3,E1 running-avg K=3,True,15,0.00258102442607111,11.433908050566503,15.096556230800465,1.0,linear,1.0,mean,last_settlement,,3.0,2024,2.96
E1_ravg5,E1 running-avg K=5,True,32,0.003367124980613312,10.851891716906838,15.096556230800465,1.0,linear,1.0,mean,last_settlement,,5.0,2024,5.34
X1_a05_log,X1 alpha=0.5 + log-weights,False,50,21.65889149847328,11.237052739103534,19.1129913812376,0.5,log,1.0,mean,last_settlement,,,2024,9.64
X2_a05_cap20,X2 alpha=0.5 + cap=0.20,False,50,19.16993382026228,10.504716582602468,18.327377758154377,0.5,capped,0.2,mean,last_settlement,,,2024,8.45
X3_log_median,X3 log-weights + median,False,50,20.28400570776256,13.421254410427268,19.407441174877878,1.0,log,1.0,median,last_settlement,,,2024,9.1
X4_a03_log_median,X4 alpha=0.3 + log + median,False,50,0.2221487094370076,13.421974210978718,21.138144229365324,0.3,log,1.0,median,last_settlement,,,2024,8.77
X5_a05_cap20_fcinit,X5 alpha=0.5 + cap=0.20 + fc-init,False,50,24.335602258002936,10.968701584265853,13.531856694529079,0.5,capped,0.2,mean,forecast_mean,,,2024,8.01
BASE,"Baseline (spec, no fix)",False,50,42.648607950074194,10.02143724082925,14.057331513713581,1.0,linear,1.0,mean,last_settlement,,,2025,7.96
B1_a01,B1 fixed-alpha=0.1,False,50,1.1064836988415028,8.91995854051511,19.878461372640995,0.1,linear,1.0,mean,last_settlement,,,2025,8.31
B1_a02,B1 fixed-alpha=0.2,False,50,1.8554056787863544,8.967076884786325,19.185062100342943,0.2,linear,1.0,mean,last_settlement,,,2025,8.77
B1_a03,B1 fixed-alpha=0.3,False,50,2.474706950061531,9.026910528520697,18.50309387295889,0.3,linear,1.0,mean,last_settlement,,,2025,8.8
B1_a04,B1 fixed-alpha=0.4,False,50,7.080907706231571,9.076134564788571,17.831902593971634,0.4,linear,1.0,mean,last_settlement,,,2025,8.4
B1_a05,B1 fixed-alpha=0.5,False,50,6.043563584207291,9.001168063281785,17.165948029803257,0.5,linear,1.0,mean,last_settlement,,,2025,8.03
B1_a06,B1 fixed-alpha=0.6,False,50,16.16580319843662,9.273047139377974,16.507759078956354,0.6,linear,1.0,mean,last_settlement,,,2025,8.24
B1_a07,B1 fixed-alpha=0.7,False,50,27.292461971204673,11.97260796530382,15.863567570132847,0.7,linear,1.0,mean,last_settlement,,,2025,8.58
B1_a08,B1 fixed-alpha=0.8,False,50,25.934058502560262,9.124567643264445,15.236024797766037,0.8,linear,1.0,mean,last_settlement,,,2025,8.46
B1_a09,B1 fixed-alpha=0.9,False,50,35.73301088484345,9.60955303752481,14.635021939967535,0.9,linear,1.0,mean,last_settlement,,,2025,9.0
C2_log,C2 log-profit weights,False,50,12.32922128216066,9.263662440103369,15.49977640277019,1.0,log,1.0,mean,last_settlement,,,2025,8.36
C3_cap10,C3 weight-cap=0.10,False,50,42.67281603102846,10.0212340636726,14.057331513713576,1.0,capped,0.1,mean,last_settlement,,,2025,8.55
C3_cap15,C3 weight-cap=0.15,False,50,42.64860795007523,10.021437240828957,14.057331513713576,1.0,capped,0.15,mean,last_settlement,,,2025,8.86
C3_cap20,C3 weight-cap=0.20,False,50,42.411390408491755,9.999247896417335,14.057331513713576,1.0,capped,0.2,mean,last_settlement,,,2025,8.8
C3_cap25,C3 weight-cap=0.25,False,50,59.81999258590125,17.177370173357648,14.057331513713576,1.0,capped,0.25,mean,last_settlement,,,2025,8.67
C3_cap30,C3 weight-cap=0.30,False,50,42.49066954680262,10.008464996001376,14.057331513713576,1.0,capped,0.3,mean,last_settlement,,,2025,8.48
C3_cap50,C3 weight-cap=0.50,False,50,42.64860795007428,10.021437240829258,14.057331513713576,1.0,capped,0.5,mean,last_settlement,,,2025,8.8
C2b_median,C2b weighted-median price,False,50,69.40875564401637,9.490181295667746,18.558508739543086,1.0,linear,1.0,median,last_settlement,,,2025,8.78
D2_forecast_mean,D2 init=forecast-mean,False,50,19.010225336293132,9.288653247021312,9.81828245704165,1.0,linear,1.0,mean,forecast_mean,,,2025,7.96
E2_ema01,E2 EMA-beta=0.1,False,50,35.73301088484337,9.609553037524812,14.635021939967539,1.0,linear,1.0,mean,last_settlement,0.1,,2025,7.88
E2_ema02,E2 EMA-beta=0.2,False,50,25.934058502560195,9.124567643264445,15.236024797766037,1.0,linear,1.0,mean,last_settlement,0.2,,2025,7.94
E2_ema03,E2 EMA-beta=0.3,False,50,27.292461971204418,11.972607965303746,15.863567570132847,1.0,linear,1.0,mean,last_settlement,0.3,,2025,8.58
E2_ema05,E2 EMA-beta=0.5,False,50,6.043563584207291,9.001168063281785,17.165948029803257,1.0,linear,1.0,mean,last_settlement,0.5,,2025,8.37
E2_ema07,E2 EMA-beta=0.7,False,50,2.4747069500554915,9.026910528519897,18.50309387295889,1.0,linear,1.0,mean,last_settlement,0.7,,2025,7.79
E1_ravg2,E1 running-avg K=2,True,14,0.008860874844401678,11.21477643410939,14.057331513713581,1.0,linear,1.0,mean,last_settlement,,2.0,2025,2.56
E1_ravg3,E1 running-avg K=3,True,30,0.007369838418313179,9.845835410828835,14.057331513713581,1.0,linear,1.0,mean,last_settlement,,3.0,2025,4.69
E1_ravg5,E1 running-avg K=5,True,40,0.003694098331457951,9.293365423473649,14.057331513713581,1.0,linear,1.0,mean,last_settlement,,5.0,2025,6.93
X1_a05_log,X1 alpha=0.5 + log-weights,False,50,10.37054608917343,9.048969965098548,17.93416328948887,0.5,log,1.0,mean,last_settlement,,,2025,8.67
X2_a05_cap20,X2 alpha=0.5 + cap=0.20,False,50,6.964911727399198,9.093660495355087,17.165948029803257,0.5,capped,0.2,mean,last_settlement,,,2025,8.44
X3_log_median,X3 log-weights + median,False,50,20.953051129152264,12.135026864652568,17.798242920802114,1.0,log,1.0,median,last_settlement,,,2025,9.59
X4_a03_log_median,X4 alpha=0.3 + log + median,False,50,0.8845893727125258,12.06047241332251,19.69258430036944,0.3,log,1.0,median,last_settlement,,,2025,8.92
X5_a05_cap20_fcinit,X5 alpha=0.5 + cap=0.20 + fc-init,False,50,5.116689274065024,8.9353961801989,12.52519567164566,0.5,capped,0.2,mean,forecast_mean,,,2025,8.98
